0.0000 0.0000 5.0000 0.0000
0.4419 0.4419 3.5355 3.5355
0.8839 0.8839 3.5355 3.5355
1.3258 1.3258 3.5355 3.5355
1.7678 1.7678 3.5355 3.5355
2.2097 2.2097 3.5355 3.5355
2.6517 2.6517 3.5355 3.5355
3.0936 3.0936 3.5355 3.5355
3.5355 3.5355 3.5355 3.5355
3.9775 3.9775 3.5355 3.5355
4.4194 4.4194 3.5355 3.5355
4.8613 4.8613 3.5355 3.5355
5.3033 5.3033 3.5355 3.5355
5.7452 5.7452 3.5355 3.5355
6.1872 6.1872 3.5355 3.5355
6.6291 6.6291 3.5355 3.5355
7.0710 7.0710 3.5355 3.5355
7.5130 7.5130 3.5355 3.5355
7.9549 7.9549 3.5355 3.5355
8.3969 8.3969 3.5355 3.5355
8.8388 8.8388 3.5355 3.5355
9.2807 9.2807 3.5355 3.5355
9.7227 9.7227 3.5355 3.5355
10.1646 10.1646 3.5355 3.5355
10.6065 10.6065 3.5355 3.5355
11.0484 11.0484 3.5355 3.5355
11.4903 11.4903 3.5355 3.5355
11.9322 11.9322 3.5355 3.5355
12.3741 12.3741 3.5355 3.5355
12.8160 12.8160 3.5355 3.5355
13.2579 13.2579 3.5355 3.5355
13.6998 13.6998 3.5355 3.5355
14.1417 14.1417 3.5355 3.5355
14.5836 14.5836 3.5355 3.5355
15.0255 15.0255 3.5355 3.5355
15.4674 15.4674 3.5355 3.5355
15.9093 15.9093 3.5355 3.5355
16.3512 16.3512 3.5355 3.5355
16.7931 16.7931 3.5355 3.5355
17.2350 17.2350 3.5355 3.5355
17.6769 17.6769 3.5355 3.5355
18.1188 18.1188 3.5355 3.5355
18.5607 18.5607 3.5355 3.5355
19.0026 19.0026 3.5355 3.5355
19.4445 19.4445 3.5355 3.5355
19.8864 19.8864 3.5355 3.5355
20.3283 20.3283 3.5355 3.5355
20.7702 20.7702 3.5355 3.5355
21.2121 21.2121 3.5355 3.5355
21.6540 21.6540 3.5355 3.5355
22.0959 22.0959 3.5355 3.5355
22.5378 22.5378 3.5355 3.5355
22.9797 22.9797 3.5355 3.5355
23.4216 23.4216 3.5355 3.5355
23.8635 23.8635 3.5355 3.5355
24.3054 24.3054 3.5355 3.5355
24.7473 24.7473 3.5355 3.5355
25.1892 25.1892 3.5355 3.5355
25.6311 25.6311 3.5355 3.5355
26.0730 26.0730 3.5355 3.5355
26.5149 26.5149 3.5355 3.5355
26.9568 26.9568 3.5355 3.5355
27.3987 27.3987 3.5355 3.5355
27.8406 27.8406 3.5355 3.5355
28.2825 28.2825 3.5355 3.5355
28.7244 28.7244 3.5355 3.5355
29.1663 29.1663 3.5355 3.5355
29.6082 29.6082 3.5355 3.5355
30.0501 30.0501 3.5355 3.5355
30.4920 30.4920 3.5355 3.5355
30.9339 30.9339 3.5355 3.5355
31.3758 31.3758 3.5355 3.5355
31.8177 31.8177 3.5355 3.5355
32.2596 32.2596 3.5355 3.5355
32.7015 32.7015 3.5355 3.5355
33.1434 33.1434 3.5355 3.5355
33.5853 33.5853 3.5355 3.5355
34.0272 34.0272 3.5355 3.5355
34.4691 34.4691 3.5355 3.5355
34.9110 34.9110 3.5355 3.5355
35.3529 35.3529 3.5355 3.5355
35.7948 35.7948 3.5355 3.5355
36.2367 36.2367 3.5355 3.5355
36.6101 36.2018 2.9869 -0.2795
36.9835 36.1669 2.9869 -0.2796
37.3569 36.1320 2.9869 -0.2795
37.7303 36.0970 2.9869 -0.2797
38.1037 36.0621 2.9870 -0.2795
38.4771 36.0271 2.9869 -0.2802
38.6016 36.0155 0.9957 -0.0925
38.7263 36.0072 0.9978 -0.0667
38.8512 36.0017 0.9990 -0.0441
38.9762 35.9998 0.9999 -0.0153
39.1012 36.0005 1.0000 0.0059
39.2261 36.0048 0.9994 0.0345
39.3509 36.0119 0.9984 0.0570
39.4755 36.0222 0.9966 0.0827
39.5998 36.0358 0.9940 0.1091
39.7237 36.0521 0.9914 0.1305
39.8471 36.0721 0.9872 0.1598
39.9701 36.0943 0.9841 0.1778
40.0923 36.1206 0.9776 0.2106
40.2141 36.1488 0.9742 0.2258
40.3348 36.1813 0.9656 0.2599
40.4550 36.2155 0.9619 0.2734
40.5739 36.2541 0.9512 0.3087
40.6924 36.2939 0.9479 0.3184
40.8091 36.3387 0.9335 0.3585
40.9253 36.3847 0.9299 0.3677
41.0398 36.4349 0.9159 0.4013
41.1535 36.4868 0.9097 0.4153
41.2654 36.5425 0.8954 0.4452
41.3765 36.5998 0.8889 0.4581
41.4853 36.6613 0.8705 0.4922
41.5933 36.7242 0.8640 0.5035
41.6991 36.7908 0.8460 0.5332
41.8037 36.8592 0.8369 0.5473
41.9060 36.9310 0.8187 0.5742
42.0071 37.0045 0.8086 0.5883
42.1057 37.0813 0.7887 0.6148
42.2030 37.1598 0.7784 0.6278
42.2977 37.2414 0.7578 0.6524
42.7207 37.7015 3.3842 3.6807
43.1437 38.1616 3.3842 3.6807
43.5667 38.6217 3.3842 3.6807
43.9897 39.0818 3.3842 3.6807
44.4127 39.5419 3.3842 3.6807
44.8357 40.0020 3.3842 3.6807
45.2587 40.4621 3.3842 3.6807
45.6817 40.9222 3.3842 3.6807
46.1047 41.3823 3.3842 3.6807
46.5277 41.8424 3.3842 3.6807
46.9507 42.3025 3.3842 3.6807
47.3737 42.7626 3.3842 3.6807
47.7967 43.2227 3.3842 3.6807
48.2197 43.6828 3.3842 3.6807
48.6427 44.1429 3.3842 3.6807
49.0657 44.6030 3.3842 3.6807
49.4887 45.0631 3.3842 3.6807
