0.0000;0.0000;5.0000;0.0000
3.5355;3.5355;5.0000;0.7854
7.0711;7.0711;5.0000;0.7854
10.6066;10.6066;5.0000;0.7854
14.1421;14.1421;5.0000;0.7854
17.6776;17.6776;5.0000;0.7854
21.2131;21.2131;5.0000;0.7854
24.7486;24.7486;5.0000;0.7854
28.2841;28.2841;5.0000;0.7854
31.8196;31.8196;5.0000;0.7854
35.3551;35.3551;5.0000;0.7854
38.8906;38.8906;5.0000;0.7854
41.4743;37.3660;3.0000;-0.5331
44.1634;36.0361;3.0000;-0.4593
47.4515;39.8028;5.0000;0.8531
50.7396;43.5695;5.0000;0.8531
54.0277;47.3362;5.0000;0.8531
57.3158;51.1029;5.0000;0.8531
60.6039;54.8696;5.0000;0.8531
63.8920;58.6363;5.0000;0.8531
67.1801;62.4030;5.0000;0.8531
70.4682;66.1697;5.0000;0.8531
73.7563;69.9364;5.0000;0.8531
77.0444;73.7031;5.0000;0.8531
80.3325;77.4698;5.0000;0.8531
83.6206;81.2365;5.0000;0.8531
86.9087;85.0032;5.0000;0.8531
90.1968;88.7699;5.0000;0.8531
93.4849;92.5366;5.0000;0.8531
96.7730;96.3033;5.0000;0.8531
97.4306;97.0566;1.0000;0.8531
98.0882;97.8099;1.0000;0.8531
98.7458;98.5632;1.0000;0.8531
99.4034;99.3166;1.0000;0.8531
100.0610;100.0700;1.0000;0.8531
